0,1,2,3,4,5,6,7,8,9,10,11,filename
27,28,10,5,5,5,1,10,6,0,3,12,241.txt
30,27,16,5,5,5,1,9,6,0,3,11,242.txt
27,25,7,5,5,5,1,10,6,0,3,18,245.txt
27,25,7,7,5,3,0,10,6,0,3,12,247.txt
30,27,7,7,13,15,8,0,6,0,3,11,249.txt
30,23,16,7,5,11,8,10,6,0,6,5,250.txt
27,25,16,5,5,5,1,10,6,0,3,10,252.txt
27,25,7,5,5,5,1,10,6,0,3,16,256.txt
27,25,7,5,5,5,8,10,6,0,3,10,258.txt
30,22,7,5,5,5,1,10,6,0,3,10,260.txt
27,28,7,5,5,5,1,10,6,0,3,12,261.txt
30,23,7,18,5,5,1,0,6,0,3,10,264.txt
30,27,7,5,5,5,1,10,6,0,3,11,269.txt
27,25,7,5,5,5,1,10,6,0,3,10,272.txt
30,23,7,5,5,5,1,10,6,0,3,10,274.txt
22,11,22,18,7,5,11,8,0,6,3,3,276.txt
30,23,7,5,5,5,1,10,6,0,3,11,280.txt
30,27,7,18,5,5,1,10,6,0,3,11,282.txt
27,25,7,9,5,5,1,10,6,0,3,10,283.txt
27,30,7,16,5,5,11,10,6,0,3,12,284.txt
27,28,7,5,5,5,1,10,6,0,3,12,286.txt
27,25,10,18,5,5,1,10,6,0,3,18,288.txt
27,28,7,5,5,5,1,10,6,0,3,12,290.txt
30,27,7,16,5,11,8,10,6,0,3,11,293.txt
27,29,7,5,8,5,1,10,6,0,3,12,295.txt
30,25,7,7,19,5,1,10,9,8,7,10,297.txt
27,28,7,5,5,5,1,0,6,0,3,12,300.txt
27,25,7,5,5,5,1,10,6,0,3,10,303.txt
27,28,7,5,7,3,0,10,6,0,3,12,305.txt
27,25,7,23,5,5,8,10,6,0,3,12,307.txt
27,25,7,9,5,5,1,10,6,0,3,12,311.txt
27,25,7,5,5,5,1,10,6,0,3,12,313.txt
30,23,7,18,5,5,1,10,6,0,3,11,318.txt
30,27,7,18,5,5,1,10,6,0,3,11,320.txt
12,28,5,18,19,5,1,10,8,12,7,15,322.txt
12,28,5,18,19,5,1,10,8,12,7,15,323.txt
27,25,7,5,5,3,0,10,6,0,3,10,324.txt
27,29,10,5,8,11,1,10,6,0,3,12,326.txt
27,26,5,9,7,5,1,8,12,6,3,3,328.txt
30,12,4,4,30,11,1,10,6,0,19,4,329.txt
30,27,16,5,5,5,1,10,6,0,3,11,333.txt
27,25,16,5,5,5,8,10,6,0,3,10,335.txt
30,23,7,5,5,11,1,0,6,0,3,11,337.txt
27,25,16,7,10,15,8,10,6,0,3,10,341.txt
27,29,5,27,7,5,1,10,16,0,3,15,342.txt
27,25,7,5,5,5,1,10,6,0,3,10,344.txt
27,25,7,5,5,5,1,0,6,0,3,12,347.txt
22,28,10,18,5,5,1,10,6,0,3,12,349.txt
27,11,17,5,7,5,1,8,0,6,3,3,352.txt
27,29,7,5,7,5,1,10,17,0,3,12,354.txt
30,23,7,5,5,5,1,10,6,0,3,11,358.txt
30,27,16,18,5,5,1,10,6,0,3,11,360.txt
27,28,7,5,5,5,1,10,6,0,3,12,362.txt
27,25,10,5,5,5,1,10,6,0,3,10,364.txt
30,23,7,5,5,5,1,0,6,0,3,10,365.txt
30,23,16,9,5,5,1,10,6,0,3,10,368.txt
27,30,7,5,5,5,1,10,6,0,3,12,369.txt
27,22,7,5,5,5,1,10,6,0,3,10,371.txt
27,24,7,18,19,11,1,10,9,12,7,16,375.txt
22,29,7,18,7,5,1,10,16,0,3,12,377.txt
27,29,7,5,8,5,1,10,6,0,3,12,380.txt
30,30,7,5,7,5,1,0,6,0,15,16,382.txt
27,25,7,5,5,11,1,10,6,0,3,10,385.txt
27,28,5,5,19,12,1,10,8,12,7,17,386.txt
30,23,7,18,5,5,1,10,6,0,3,10,387.txt
27,28,10,5,5,5,1,10,6,0,3,12,391.txt
27,22,16,15,5,5,8,10,6,0,3,10,394.txt
27,28,7,7,8,5,11,10,6,0,3,12,395.txt
27,22,7,5,5,5,1,10,6,0,3,10,397.txt
27,25,7,5,5,3,0,10,6,0,3,10,400.txt
27,25,16,7,5,5,8,10,6,0,3,10,402.txt
27,28,7,5,5,5,1,10,6,0,3,12,405.txt
27,25,7,5,5,11,1,10,6,0,3,10,407.txt
27,28,7,15,7,5,8,10,6,0,3,12,411.txt
22,28,8,18,8,5,1,10,6,0,3,12,413.txt
27,28,7,5,5,5,1,10,6,0,3,12,416.txt
27,30,16,5,7,5,1,10,6,0,3,13,417.txt
12,21,7,18,5,7,1,10,6,0,3,11,419.txt
27,25,16,5,5,11,1,10,6,0,3,10,421.txt
30,23,7,5,5,11,1,10,6,0,3,10,423.txt
22,29,7,18,7,5,1,10,6,0,3,12,425.txt
30,27,7,18,5,5,1,10,6,0,3,11,427.txt
30,27,7,5,5,5,1,10,6,0,3,11,430.txt
27,28,7,5,5,5,1,10,6,0,3,12,434.txt
30,22,7,15,5,11,1,10,6,0,3,10,436.txt
27,25,7,5,5,5,8,10,6,0,3,10,439.txt
30,23,16,7,5,11,8,10,6,0,3,10,444.txt
27,25,7,7,5,5,8,10,6,0,3,12,447.txt
30,27,7,7,13,15,1,10,6,0,3,11,449.txt
27,25,16,5,5,5,1,10,6,0,3,10,452.txt
27,28,10,5,8,5,1,10,6,0,3,12,454.txt
27,28,7,7,8,5,11,10,6,0,3,12,456.txt
27,25,7,5,5,5,1,10,6,0,3,18,458.txt
27,25,7,5,5,5,1,10,6,0,3,10,460.txt
27,25,7,5,5,5,1,10,6,0,3,10,463.txt
27,28,7,5,5,5,1,10,6,0,3,12,465.txt
27,25,7,5,5,5,8,10,6,0,3,10,469.txt
27,30,7,7,7,15,1,10,6,0,3,16,472.txt
27,28,7,5,5,5,1,10,6,0,3,12,473.txt
27,25,7,17,5,5,8,10,6,0,3,10,475.txt
27,30,7,5,5,5,1,10,6,0,3,12,477.txt
27,25,7,5,5,5,1,10,6,0,3,12,479.txt
27,28,7,5,8,5,1,10,6,0,3,12,481.txt
27,25,7,5,5,5,1,10,6,0,3,12,485.txt
27,25,16,5,5,5,1,10,6,0,3,10,487.txt
27,25,21,17,5,5,8,10,6,0,3,10,488.txt
30,23,7,5,5,5,1,10,6,0,3,10,491.txt
27,25,7,5,5,3,0,10,6,0,3,10,492.txt
27,25,7,5,5,5,8,10,6,0,3,10,494.txt
13,10,17,7,7,5,11,12,0,6,3,3,496.txt
30,23,7,18,5,5,1,0,6,0,3,11,498.txt
27,25,7,5,5,5,1,10,6,0,3,10,500.txt
27,26,17,7,7,5,11,8,0,6,3,3,502.txt
27,16,5,5,7,5,1,10,16,0,3,15,503.txt
27,28,7,5,5,5,1,10,6,0,3,12,505.txt
27,25,7,5,5,5,1,10,6,0,3,10,507.txt
27,30,10,7,5,5,8,10,6,0,3,12,510.txt
27,28,10,5,5,11,1,10,6,0,3,12,513.txt
30,23,7,5,5,5,1,10,6,0,3,11,516.txt
22,28,10,9,8,5,1,10,6,0,3,12,518.txt
14,23,16,9,5,5,1,10,6,0,3,11,521.txt
27,25,16,5,7,5,1,10,6,0,3,16,524.txt
12,11,22,8,19,5,1,8,0,6,7,3,527.txt
30,22,7,5,5,5,1,10,6,0,3,10,529.txt
27,29,5,5,7,5,1,10,16,0,3,15,530.txt
27,28,10,5,5,5,1,10,6,0,3,12,532.txt
27,28,7,18,5,5,1,10,6,0,3,12,534.txt
27,25,7,5,5,5,1,10,6,0,3,10,536.txt
27,25,7,5,5,5,1,10,6,0,3,10,538.txt
27,28,10,5,5,5,1,10,6,0,3,12,541.txt
27,25,16,5,5,5,1,10,6,0,3,10,543.txt
30,23,16,5,5,5,8,10,6,0,3,10,545.txt
30,23,7,7,5,5,8,10,6,0,3,11,549.txt
27,25,7,5,5,5,1,0,6,0,3,10,551.txt
27,28,7,5,5,3,0,10,6,0,3,12,554.txt
27,26,17,5,7,5,1,8,0,6,3,3,557.txt
27,25,7,5,5,5,1,10,6,0,3,10,558.txt
27,28,10,5,5,5,1,10,6,0,3,12,561.txt
22,28,5,7,19,12,8,10,8,12,7,17,564.txt
27,25,7,7,14,5,8,10,6,0,3,10,566.txt
27,25,7,9,5,5,8,0,6,0,3,10,568.txt
27,25,7,5,5,5,1,0,6,0,3,10,572.txt
30,23,16,5,5,5,1,10,6,0,3,10,574.txt
27,25,7,5,5,11,1,10,6,0,3,10,576.txt
30,23,7,5,5,5,1,10,6,0,3,10,578.txt
27,30,7,5,5,5,1,10,6,0,3,12,580.txt
27,25,7,5,5,5,1,10,6,0,3,10,582.txt
30,27,7,5,5,11,1,10,6,0,3,11,584.txt
27,17,5,5,7,11,1,0,6,11,3,15,586.txt
30,23,16,5,5,5,1,10,6,0,3,10,588.txt
27,20,7,5,5,11,1,10,6,0,3,12,591.txt
27,28,7,5,5,5,1,10,6,0,3,12,594.txt
27,25,7,5,5,11,1,10,6,0,3,10,596.txt
30,27,7,18,5,11,1,10,6,0,3,11,598.txt
30,23,7,5,5,5,1,10,6,0,3,11,600.txt
27,25,7,5,5,11,1,0,6,0,3,10,603.txt
27,28,10,5,8,5,1,10,6,0,3,12,604.txt
30,23,16,5,5,5,1,10,6,0,3,10,606.txt
30,23,7,5,5,5,1,10,6,0,3,10,607.txt
30,23,7,5,5,5,1,10,6,0,3,10,613.txt
30,23,16,5,5,5,1,10,6,0,3,10,615.txt
30,23,7,5,5,5,1,10,6,0,3,10,618.txt
30,27,16,5,5,5,1,10,6,0,3,11,621.txt
27,25,16,5,5,5,1,10,6,0,3,10,623.txt
27,28,7,18,7,5,1,10,6,0,3,13,624.txt
30,25,7,5,5,5,1,10,6,0,23,10,627.txt
27,25,7,5,5,5,1,10,6,0,3,10,628.txt
30,22,16,5,5,5,1,10,6,0,3,10,629.txt
12,27,7,18,5,5,1,10,6,0,3,14,631.txt
19,29,8,18,8,15,1,10,6,0,3,12,633.txt
27,25,7,5,5,5,1,10,6,0,3,10,635.txt
27,25,7,5,5,5,1,10,6,0,3,10,637.txt
30,23,16,15,5,5,8,10,6,0,3,10,642.txt
27,25,16,5,5,5,1,10,6,0,3,10,645.txt
27,25,7,5,7,5,1,10,6,0,3,10,647.txt
27,25,21,5,5,11,1,10,6,0,3,10,650.txt
27,25,7,5,5,5,1,10,6,0,3,18,652.txt
30,27,16,7,5,3,0,9,6,0,3,11,654.txt
27,25,7,7,5,5,8,0,6,0,3,18,657.txt
30,22,7,18,5,5,1,10,6,0,3,10,658.txt
30,21,7,18,5,11,1,10,6,0,3,14,662.txt
27,28,10,5,5,5,1,10,6,0,3,12,663.txt
27,25,7,5,5,5,1,10,6,0,3,10,665.txt
27,25,10,5,5,5,1,10,6,0,3,10,669.txt
30,23,16,5,5,5,1,10,6,0,3,10,671.txt
27,28,10,5,5,5,1,10,6,0,3,12,673.txt
27,28,7,5,5,5,1,0,6,0,3,12,675.txt
22,28,5,18,19,5,1,10,9,12,7,3,678.txt
27,28,10,5,5,5,1,10,6,0,3,12,680.txt
30,22,7,5,5,5,1,10,6,0,3,10,683.txt
30,27,7,5,5,5,1,10,6,0,3,11,685.txt
27,25,7,5,5,5,1,10,6,0,3,10,687.txt
27,25,7,5,5,5,1,10,6,0,3,10,689.txt
27,25,7,5,5,5,1,10,6,0,3,10,691.txt
30,25,7,7,5,11,1,10,6,0,3,10,695.txt
27,25,7,5,5,5,8,10,6,0,3,12,696.txt
27,28,10,5,5,3,0,10,6,0,3,12,700.txt
27,29,7,5,7,5,1,10,16,0,3,12,703.txt
12,25,7,7,12,15,8,10,6,0,3,11,705.txt
27,25,7,5,5,5,1,10,6,0,3,10,706.txt
30,23,7,7,11,15,8,10,6,0,3,11,709.txt
27,22,7,7,14,5,8,10,6,0,3,10,711.txt
27,25,7,5,5,11,8,0,6,0,3,10,712.txt
22,11,22,8,15,5,11,8,0,6,3,3,713.txt
12,21,7,18,5,5,1,10,6,0,3,14,716.txt
18,25,7,7,13,5,8,0,6,0,3,10,722.txt
27,25,10,5,5,5,1,10,6,0,3,10,724.txt
12,21,7,18,5,11,1,10,6,0,3,14,727.txt
27,29,8,5,8,5,1,10,6,0,3,12,728.txt
27,25,21,5,5,5,1,10,6,0,3,10,732.txt
27,20,7,5,5,5,1,10,6,0,3,12,734.txt
27,28,7,5,7,5,1,10,6,0,3,12,735.txt
27,25,21,7,5,3,0,10,6,0,3,10,737.txt
27,28,7,5,5,5,1,0,6,0,3,12,738.txt
30,23,7,5,5,5,1,10,6,0,3,11,741.txt
27,25,12,7,11,5,8,10,6,0,3,10,743.txt
27,30,7,5,5,5,1,10,6,0,3,12,747.txt
27,11,22,18,16,5,1,8,0,6,3,3,748.txt
27,25,16,5,5,5,1,10,6,0,3,10,751.txt
30,27,16,7,14,11,1,10,6,0,3,11,755.txt
27,28,7,9,8,11,1,0,6,0,3,12,756.txt
27,28,8,5,7,5,1,10,6,0,3,12,760.txt
30,27,16,7,5,5,1,10,6,0,3,11,765.txt
12,27,7,18,5,3,0,10,6,0,3,11,766.txt
27,25,16,5,5,5,1,10,6,0,3,10,768.txt
27,28,10,29,8,5,11,10,6,0,3,12,771.txt
27,25,10,5,5,5,1,10,6,0,3,12,772.txt
30,27,7,5,5,5,1,10,6,0,3,11,773.txt
27,28,7,5,8,5,1,0,6,0,3,12,775.txt
27,28,7,18,5,5,1,10,6,0,3,12,777.txt
27,28,8,5,8,5,1,10,6,0,3,12,779.txt
27,22,7,5,5,5,1,10,6,0,3,10,781.txt
27,22,7,5,5,5,1,10,6,0,3,10,785.txt
25,23,16,5,5,5,1,10,6,0,3,10,787.txt
27,28,7,5,5,5,1,10,6,0,3,12,790.txt
27,25,21,5,5,5,1,10,6,0,3,10,792.txt
27,28,7,5,8,5,1,10,6,0,3,12,796.txt
27,25,7,5,5,5,1,10,6,0,3,10,800.txt
27,25,7,5,5,5,1,10,6,0,3,10,802.txt
22,11,17,8,19,5,1,8,0,6,3,3,806.txt
30,22,7,5,5,5,1,10,6,0,3,10,807.txt
27,25,7,5,5,5,1,0,6,0,3,10,810.txt
30,23,7,5,5,5,1,10,6,0,3,10,813.txt
30,25,7,7,7,11,1,10,6,0,3,10,816.txt
30,27,7,18,5,5,1,0,6,0,3,11,817.txt
30,23,7,5,5,5,1,10,6,0,3,10,818.txt
25,21,7,9,5,11,1,0,6,0,3,14,821.txt
27,28,7,17,5,5,11,10,6,0,3,12,824.txt
27,25,7,5,5,5,1,10,6,0,3,10,827.txt
27,25,12,5,5,5,1,10,6,0,3,13,831.txt
30,23,7,5,5,5,1,10,6,0,3,10,832.txt
27,22,16,5,5,5,1,10,6,0,3,10,834.txt
27,25,7,5,5,5,1,10,6,0,3,10,836.txt
27,25,7,5,5,5,1,10,6,0,3,10,839.txt
27,25,13,5,5,5,1,10,6,0,3,13,842.txt
30,23,16,5,5,5,1,10,6,0,3,10,847.txt
30,27,7,5,5,5,8,10,6,0,3,11,851.txt
27,26,17,9,7,5,11,15,0,6,3,3,852.txt
30,22,7,17,5,5,1,10,6,0,3,10,855.txt
27,28,10,5,5,5,1,10,6,0,3,12,857.txt
30,23,16,5,5,5,1,9,6,0,3,11,859.txt
27,28,7,5,5,5,1,10,6,0,3,12,861.txt
30,27,16,7,11,15,8,10,6,0,3,11,864.txt
27,29,7,5,7,5,1,10,16,0,3,12,866.txt
27,29,7,5,7,5,1,10,6,0,3,12,868.txt
30,27,7,5,5,5,1,10,6,0,3,11,870.txt
27,28,7,5,5,5,1,10,6,0,3,12,872.txt
27,25,7,7,11,5,8,0,6,0,3,10,874.txt
30,23,16,5,5,5,1,10,6,0,3,10,879.txt
30,23,7,5,5,5,1,10,6,0,3,10,882.txt
30,23,7,7,13,15,8,10,6,0,3,11,884.txt
27,25,7,5,5,5,8,10,6,0,3,10,885.txt
30,27,7,5,5,5,1,10,6,0,3,11,886.txt
27,30,7,5,5,5,1,10,6,0,3,12,889.txt
30,27,16,5,5,11,1,10,6,0,3,11,891.txt
27,28,7,5,5,5,1,0,6,0,3,12,893.txt
27,25,21,7,5,5,8,10,6,0,3,10,896.txt
27,28,7,5,8,5,1,10,6,0,3,12,900.txt
27,28,7,5,5,5,1,0,6,0,3,12,902.txt
14,23,16,7,11,5,1,10,6,0,3,14,905.txt
27,25,7,5,5,5,8,10,6,0,3,10,907.txt
30,23,7,5,5,5,1,10,6,0,3,11,909.txt
27,25,7,15,5,5,8,10,6,0,3,10,911.txt
30,27,7,5,5,5,1,0,6,0,3,11,914.txt
27,28,5,5,7,5,1,10,6,11,3,15,917.txt
27,28,10,5,5,5,8,10,6,0,3,12,922.txt
27,25,7,5,5,11,1,10,6,0,3,10,924.txt
27,25,7,5,5,5,1,0,6,0,3,10,925.txt
27,30,7,5,5,5,1,10,6,0,3,12,926.txt
27,28,7,5,7,5,1,10,6,0,3,12,928.txt
27,28,7,5,5,5,1,10,6,0,3,12,930.txt
30,22,7,5,5,11,8,10,6,0,3,10,932.txt
27,25,7,7,19,11,8,0,27,8,7,10,935.txt
22,29,7,18,7,5,1,10,17,0,3,12,940.txt
27,25,16,5,5,5,1,10,6,0,3,10,942.txt
27,25,16,5,5,5,1,10,6,0,3,10,944.txt
27,25,7,5,5,5,1,10,6,0,3,10,946.txt
27,25,7,5,5,5,1,10,6,0,3,10,949.txt
30,27,7,5,5,11,1,10,6,0,3,11,951.txt
27,28,10,9,5,5,11,10,6,0,3,12,954.txt
30,23,7,18,5,5,1,0,6,0,3,10,956.txt
27,28,7,5,5,5,1,0,6,0,3,12,959.txt
27,20,7,5,5,5,1,10,6,0,3,12,961.txt
27,25,7,5,5,5,1,10,6,0,3,10,962.txt
30,23,16,7,14,5,8,10,6,0,3,10,964.txt
30,25,7,5,5,5,8,10,6,0,3,10,966.txt
30,22,7,5,5,5,1,10,6,0,3,10,968.txt
30,27,7,5,5,5,1,0,6,0,3,11,970.txt
30,27,7,5,5,11,1,10,6,0,3,11,974.txt
27,25,7,5,5,5,1,10,6,0,3,10,975.txt
27,25,7,7,5,5,8,10,6,0,3,10,979.txt
27,25,7,7,5,11,8,10,6,0,3,10,981.txt
27,28,10,5,5,5,1,10,6,0,3,12,987.txt
30,27,7,7,5,11,8,10,6,0,3,11,989.txt
27,28,29,5,19,12,1,10,8,13,7,10,994.txt
30,23,7,18,5,5,1,10,6,0,3,10,996.txt
27,20,10,10,5,5,1,10,6,0,3,12,998.txt
30,23,16,5,5,5,1,10,6,0,3,10,1002.txt
30,23,16,5,5,5,1,10,6,0,3,11,1005.txt
27,25,7,5,5,5,1,10,6,0,3,10,1008.txt
27,25,7,5,5,11,1,10,6,0,3,12,1010.txt
27,25,16,5,5,5,1,10,6,0,3,10,1013.txt
27,25,7,5,5,5,1,0,6,0,3,10,1015.txt
27,25,16,5,5,11,1,10,6,0,3,10,1018.txt
30,23,7,20,10,15,8,10,6,0,29,14,1020.txt
30,27,7,5,5,11,1,10,6,0,3,11,1022.txt
30,23,16,5,5,5,8,10,6,0,3,11,1025.txt
30,23,7,5,5,5,1,0,6,0,3,11,1027.txt
12,21,7,18,5,5,1,10,6,0,3,14,1030.txt
30,25,16,5,5,5,1,10,6,0,3,10,1036.txt
30,27,7,5,5,5,1,10,6,0,3,11,1041.txt
30,23,16,5,5,5,1,10,6,0,3,11,1043.txt
30,23,7,18,5,11,1,10,6,0,3,11,1045.txt
27,25,7,5,5,5,1,0,6,0,3,10,1046.txt
27,25,7,5,5,5,1,10,6,0,3,10,1048.txt
30,22,7,5,5,5,1,10,6,0,3,10,1051.txt
27,25,7,5,5,5,1,10,6,0,3,10,1054.txt
27,25,16,5,5,5,1,10,6,0,3,10,1057.txt
30,23,7,5,5,5,8,10,6,0,3,10,1059.txt
30,23,7,5,5,5,1,10,6,0,3,11,1060.txt
27,25,7,5,5,5,1,10,6,0,3,10,1064.txt
25,25,16,5,5,5,1,10,6,0,3,10,1069.txt
30,27,7,5,5,5,1,10,6,0,3,11,1071.txt
27,22,16,5,5,5,1,10,6,0,3,10,1073.txt
12,21,16,18,5,5,1,10,6,0,3,14,1075.txt
30,22,16,5,5,5,8,10,6,0,3,10,1076.txt
27,25,7,5,5,5,1,10,6,0,3,10,1078.txt
27,25,21,5,5,5,1,10,6,0,3,10,1080.txt
30,27,7,10,5,5,8,10,6,0,3,11,1082.txt
30,27,7,5,5,5,1,9,6,0,3,11,1084.txt
27,28,7,7,5,5,8,10,6,0,3,12,1086.txt
22,21,7,18,5,5,1,10,6,0,3,14,1088.txt
27,25,7,5,5,11,1,10,6,0,3,10,1090.txt
27,29,7,5,7,5,11,10,16,0,3,12,1093.txt
27,30,7,5,5,5,1,10,6,0,3,12,1094.txt
27,29,7,18,8,5,1,10,6,0,3,12,1096.txt
27,25,7,5,5,5,1,10,6,0,3,10,1101.txt
27,25,13,5,5,5,1,10,6,0,3,10,1105.txt
30,23,7,5,5,5,1,10,6,0,3,10,1106.txt
14,23,7,20,14,15,1,10,6,0,3,11,1108.txt
27,28,7,5,5,5,1,10,6,0,3,12,1109.txt
27,25,7,5,5,5,1,10,6,0,3,10,1114.txt
27,28,7,5,5,5,11,10,6,0,3,12,1117.txt
27,22,7,5,5,5,1,10,6,0,3,10,1118.txt
27,25,7,5,5,5,1,10,6,0,3,10,1121.txt
27,29,5,5,7,5,1,10,16,0,3,15,1122.txt
30,27,7,5,5,5,1,10,6,0,3,11,1124.txt
30,23,7,5,5,5,1,10,6,0,3,11,1126.txt
30,27,7,9,5,11,8,10,6,0,3,11,1128.txt
27,25,7,5,5,5,8,10,6,0,3,12,1130.txt
27,25,7,5,5,5,1,10,6,0,3,10,1135.txt
27,25,7,18,5,5,1,10,6,0,3,10,1136.txt
27,20,10,5,5,5,1,10,6,0,3,12,1137.txt
27,25,7,5,5,5,1,10,6,0,3,10,1139.txt
27,25,7,25,5,5,1,10,6,0,3,10,1141.txt
27,25,16,7,10,15,8,10,6,0,3,10,1143.txt
30,23,16,18,5,5,1,10,6,0,3,11,1147.txt
