0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,filename
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,29,15,4,22,25,7,8,9,8,7,12,13,6,17,10,7,15,6,6,0,12,27,9,10,21,9,3,30,0,71.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,8,15,17,16,1,1,1,1,1,3,1,1,1,1,1,15,1,1,1,1,1,1,1,1,25,1,1,1,72.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,3,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,76.txt
23,26,3,20,0,4,0,0,0,0,27,24,3,0,0,20,0,20,0,25,0,6,9,12,27,6,6,9,6,6,0,0,0,0,12,16,12,23,11,11,7,15,6,6,0,13,4,6,7,4,0,12,15,15,78.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,6,6,4,6,6,5,8,6,6,7,1,12,6,3,3,7,0,6,6,6,12,13,6,7,6,0,8,30,0,81.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,7,15,6,6,0,12,0,0,0,0,9,3,6,0,84.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,86.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,0,8,9,8,7,1,12,6,3,3,7,15,6,6,0,12,4,6,7,4,0,3,30,0,89.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,4,1,1,1,90.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,92.txt
23,0,3,20,0,4,29,4,28,0,14,0,13,0,0,20,0,20,0,25,0,6,5,5,5,6,6,5,6,6,0,0,0,0,0,6,12,23,0,0,7,15,6,6,0,14,0,0,0,0,21,12,15,16,95.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,26,2,9,20,23,21,8,9,8,7,1,12,6,2,2,7,15,6,6,6,18,8,7,8,9,9,8,30,22,97.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,14,27,22,24,28,3,0,0,0,0,0,12,6,0,0,7,15,6,6,16,12,0,0,0,0,0,21,0,0,98.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,4,1,1,1,100.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,0,0,9,0,0,0,8,9,8,7,12,3,3,3,3,7,15,6,6,0,12,4,9,10,4,9,3,30,0,102.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,0,0,0,0,0,1,12,6,0,0,7,15,6,6,0,12,0,0,0,0,9,3,30,0,105.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1,108.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,3,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,110.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,4,1,1,1,112.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,6,6,4,6,6,0,8,9,8,7,1,12,6,3,3,7,15,6,6,0,12,4,2,2,4,0,3,30,0,114.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,0,0,9,0,0,0,17,15,29,15,12,12,6,9,6,7,15,6,6,0,12,4,6,7,4,0,3,30,0,116.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,4,1,1,1,118.txt
15,3,1,1,3,2,13,4,14,2,7,2,7,1,9,10,15,13,14,19,16,14,1,1,1,14,1,1,1,1,0,14,17,12,7,4,25,18,26,9,12,22,25,20,29,13,4,12,13,4,22,3,30,15,121.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,3,3,4,3,3,10,9,10,5,12,12,6,11,3,3,7,15,6,6,0,12,30,5,5,24,4,3,30,4,123.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,21,2,12,20,23,5,8,9,8,7,1,13,6,3,3,7,0,6,6,16,12,13,9,10,6,11,7,30,0,124.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,4,1,1,1,126.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,7,0,6,6,6,5,4,5,5,7,4,8,30,7,128.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,130.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,4,1,1,1,132.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,135.txt
23,0,3,20,0,4,0,0,0,0,14,0,13,0,0,20,0,20,0,25,0,6,22,24,3,14,27,22,24,28,1,1,1,1,1,2,1,1,1,1,25,15,14,15,16,9,3,3,3,3,1,29,9,12,137.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,141.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,7,15,6,6,0,12,0,0,0,0,4,3,30,0,144.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,18,8,9,8,7,1,3,3,3,3,7,15,6,6,16,12,11,9,10,12,8,8,30,0,145.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,147.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,0,0,0,0,0,1,12,6,3,3,7,15,6,6,0,12,4,5,5,4,4,3,30,0,149.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,4,1,1,1,151.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,154.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,6,8,9,8,6,1,4,9,3,3,4,3,4,4,4,9,4,15,21,4,9,2,2,13,156.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,0,0,0,0,0,10,8,9,8,0,0,12,6,0,0,7,15,6,6,0,12,0,0,0,0,9,3,30,0,158.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,14,27,22,24,28,3,4,4,4,4,12,12,6,2,2,7,0,6,6,16,12,3,9,10,3,8,8,30,0,160.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,5,0,0,0,0,1,12,6,3,3,7,16,6,6,6,12,4,5,5,7,4,8,30,0,161.txt
23,0,3,20,0,4,0,0,0,0,14,0,13,0,0,20,0,20,0,25,0,6,29,10,29,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,7,15,6,6,0,12,0,0,0,0,0,3,30,0,163.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,4,1,1,1,165.txt
23,0,3,2,0,4,0,0,0,2,14,2,2,2,20,5,4,10,5,1,20,29,1,1,1,3,3,0,3,3,0,0,0,0,0,1,16,25,0,0,2,5,2,2,19,13,0,0,0,0,4,12,9,15,167.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,4,1,1,1,169.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,171.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,0,0,0,0,0,0,0,0,0,7,1,12,7,0,0,7,15,6,6,0,12,0,0,0,0,4,3,30,0,173.txt
23,0,3,2,0,10,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,175.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,4,1,1,1,177.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,179.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,3,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,182.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,184.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,7,15,6,6,0,12,5,5,5,5,4,2,2,0,188.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,13,11,12,11,11,17,22,15,18,15,12,13,6,19,22,7,16,6,6,16,12,8,12,13,9,8,3,30,0,189.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,0,0,0,0,0,1,12,23,3,3,7,15,6,6,0,13,4,5,5,4,4,14,0,15,191.txt
26,28,2,25,10,7,29,23,28,26,22,30,9,18,21,17,11,25,14,9,21,21,29,10,29,6,6,12,6,6,29,23,25,28,28,12,22,25,18,25,16,27,25,28,27,12,4,12,13,4,8,3,3,19,194.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,3,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,197.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,199.txt
23,26,3,2,0,4,0,0,0,0,27,24,3,28,26,25,0,22,0,25,0,6,9,21,27,5,15,24,29,25,17,2,2,2,11,19,0,6,28,18,7,0,6,6,16,5,12,10,11,12,8,3,8,7,203.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,9,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,204.txt
23,0,3,20,0,4,0,0,0,0,14,0,13,0,0,20,0,20,0,25,0,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,7,15,6,6,0,13,0,0,0,0,0,3,30,15,209.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,0,0,0,0,0,1,12,6,0,0,7,16,6,6,0,12,0,0,0,0,4,3,30,0,210.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,212.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,0,0,11,0,0,0,8,9,8,7,12,12,6,3,3,7,15,6,6,0,12,4,6,7,4,0,3,30,0,214.txt
15,3,1,1,3,2,3,13,26,21,2,4,4,9,2,2,11,30,14,24,15,24,27,7,7,9,25,27,27,26,29,26,22,22,23,21,16,25,2,2,30,29,29,20,20,18,22,14,15,14,8,7,30,22,217.txt
23,0,3,20,0,10,0,0,0,0,14,0,13,10,8,20,0,20,0,25,0,6,29,10,29,14,27,22,24,28,4,15,3,15,4,2,3,3,2,2,7,15,6,6,0,12,3,3,3,3,1,3,3,0,219.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,22,24,23,14,27,22,24,28,1,1,1,1,1,2,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,220.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,222.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,14,27,22,24,28,1,1,1,1,1,2,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,225.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,0,8,9,8,0,1,12,6,26,9,7,15,6,6,0,12,4,5,5,4,4,3,30,0,227.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,229.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,231.txt
23,0,3,2,0,4,0,0,0,2,14,2,8,11,1,5,4,13,5,1,10,8,1,1,1,0,0,0,0,0,0,0,0,0,0,1,23,14,0,0,2,1,2,2,9,12,0,0,0,0,4,3,6,0,236.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,6,6,12,6,6,0,8,9,8,7,12,12,6,26,9,7,15,6,6,0,12,5,6,7,5,0,3,30,0,241.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,14,27,22,24,28,1,1,1,1,1,2,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,242.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,7,15,6,6,0,13,5,5,5,5,4,3,30,15,245.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,21,22,24,21,0,0,0,0,0,1,12,6,0,0,7,15,6,6,0,12,0,0,0,0,4,3,6,0,247.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,2,2,2,14,27,22,24,28,5,15,3,15,0,13,12,4,11,11,7,0,6,6,16,5,3,6,7,3,0,8,30,7,249.txt
23,0,3,2,0,10,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,4,1,1,1,250.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,4,1,1,1,252.txt
23,3,1,1,3,2,1,23,1,2,2,2,2,2,2,5,4,13,5,1,10,8,1,1,1,14,27,22,24,28,0,0,0,0,0,1,2,2,0,0,2,1,2,2,2,12,0,0,0,0,0,3,30,0,256.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,7,15,6,6,0,12,0,0,0,0,8,3,30,0,258.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,0,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,4,1,1,1,260.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,5,0,0,0,0,1,13,6,0,0,7,16,6,6,6,12,0,0,0,0,4,7,6,0,261.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,264.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,269.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,4,1,1,1,272.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,274.txt
23,26,3,20,0,4,0,0,0,0,27,24,3,0,0,20,0,20,0,25,0,6,5,5,5,0,0,0,0,0,19,0,0,0,0,0,13,6,0,0,7,15,6,6,16,7,0,0,0,0,0,21,0,9,276.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,21,22,24,21,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,280.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,282.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,7,26,6,18,11,12,14,14,0,8,9,8,7,19,12,6,3,3,7,0,6,6,0,13,11,22,23,12,8,3,30,15,283.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,4,1,1,1,284.txt
