0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,filename
0,0,13,29,22,0,7,1,24,7,17,8,6,8,20,11,7,26,6,11,21,17,27,13,30,9,11,5,8,22,27,29,9,17,8,21,21,23,9,21,3,15,3,8,3,13,8,8,16,26,27,17,26,3,27,13,16,28,12,29,65.txt
29,9,29,10,28,29,26,17,24,30,22,10,14,6,29,3,1,12,16,30,5,23,21,1,17,13,27,27,18,7,27,24,28,17,17,16,30,4,28,27,19,29,21,14,17,16,30,29,9,15,19,5,13,17,16,18,26,12,14,30,68.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,7,4,28,3,0,0,2,19,19,20,7,0,6,7,5,0,0,0,25,0,0,0,0,0,0,71.txt
0,0,0,0,19,0,4,5,5,7,17,8,8,13,7,6,7,19,6,3,13,10,5,6,6,4,14,23,16,22,6,11,13,13,8,8,4,7,3,15,3,2,3,6,3,16,8,8,16,11,28,17,26,3,21,23,19,13,5,30,72.txt
0,0,0,0,9,0,4,5,5,7,9,7,8,4,7,10,3,20,26,3,29,1,3,23,20,4,0,0,0,1,6,11,13,13,0,7,2,28,3,0,15,0,15,19,14,7,0,6,7,5,1,1,5,25,23,0,0,0,0,0,76.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,7,4,28,3,0,0,2,19,19,20,7,0,6,7,5,0,0,0,5,0,0,0,0,0,0,78.txt
0,0,0,0,9,0,4,5,5,7,17,8,8,13,28,10,7,19,6,3,6,5,5,6,20,4,3,3,3,22,6,2,30,2,25,7,4,28,3,7,14,3,26,13,30,24,3,15,30,28,28,17,25,8,21,5,5,7,24,9,81.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,7,2,28,3,0,15,21,15,19,14,7,0,6,7,5,0,0,0,25,0,0,0,0,0,0,84.txt
0,0,0,0,9,0,4,5,5,7,17,8,8,2,7,10,7,19,6,3,2,2,2,2,20,4,0,0,0,22,6,2,29,2,0,8,2,7,3,0,15,21,27,19,25,7,0,6,7,5,30,18,3,13,21,0,0,0,0,0,86.txt
0,0,0,0,9,0,4,5,5,7,17,8,8,13,28,10,7,19,6,3,6,5,5,6,20,4,3,3,3,22,6,2,2,2,1,7,4,28,3,7,3,2,3,19,3,16,29,30,16,15,30,17,3,30,27,12,16,28,13,29,89.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,7,4,28,3,0,0,2,19,19,20,7,0,6,7,5,0,0,0,25,0,0,0,0,0,0,90.txt
0,0,0,0,9,0,4,5,5,0,0,0,0,0,0,10,29,29,0,3,0,0,0,0,20,0,0,0,0,0,6,9,8,9,0,8,2,7,3,0,0,17,19,0,20,7,0,6,7,5,0,0,0,26,0,0,0,0,0,0,92.txt
29,0,11,29,1,11,7,1,1,13,1,1,6,4,4,11,14,16,26,1,29,13,17,23,7,4,20,28,1,8,17,6,6,21,15,21,21,23,1,8,0,2,19,19,20,16,28,24,11,20,1,1,10,20,13,10,13,20,9,27,95.txt
0,3,0,0,13,0,4,5,5,25,0,0,8,13,7,10,29,19,0,3,6,5,5,6,21,18,3,30,4,21,2,2,30,2,25,7,4,28,2,7,26,12,26,9,26,24,3,15,30,29,28,17,26,8,27,5,5,6,24,9,97.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,1,7,4,28,3,0,0,2,19,19,20,16,24,27,1,15,0,0,0,13,0,23,3,13,3,18,98.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,29,6,3,0,0,0,0,20,4,0,0,0,6,6,20,20,19,0,7,2,28,3,0,15,15,24,19,26,7,0,6,7,5,8,9,14,24,17,0,0,0,0,0,100.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,7,4,28,3,0,0,2,19,19,20,7,0,6,7,5,0,0,0,24,0,0,0,0,0,0,102.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,20,20,10,0,7,4,28,3,0,0,25,19,19,20,3,0,3,3,2,26,10,18,30,2,0,0,0,0,0,105.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,7,4,28,3,0,0,2,19,19,20,7,0,6,7,5,0,0,0,25,0,0,0,0,0,0,108.txt
0,0,0,0,9,15,4,5,5,16,11,18,0,4,0,10,18,30,15,3,30,21,12,22,20,4,16,23,16,23,6,12,10,20,26,7,4,28,3,7,16,23,23,19,23,26,18,17,29,28,19,5,5,20,5,4,4,7,23,8,110.txt
0,0,0,0,9,0,4,5,5,7,11,18,6,21,20,10,3,20,4,11,0,0,0,0,10,4,17,5,8,1,22,5,5,16,2,1,1,1,11,16,0,15,19,19,20,21,15,19,23,1,1,1,4,12,4,7,7,10,8,11,112.txt
16,3,16,20,9,2,29,19,2,2,30,30,8,13,28,19,12,21,25,19,6,5,5,6,9,7,3,3,3,20,6,2,30,2,25,6,10,8,12,26,2,10,2,30,2,27,3,18,30,28,27,17,25,11,21,5,5,7,24,9,114.txt
16,3,20,2,13,2,21,19,17,2,29,30,8,13,28,19,22,21,24,18,6,5,5,6,20,22,3,24,17,19,2,2,2,2,25,7,4,28,3,7,17,12,24,12,28,26,3,14,29,28,0,0,0,30,0,5,5,4,24,6,116.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,18,4,0,0,0,0,6,9,8,9,1,14,23,14,8,22,0,15,19,19,20,13,29,30,17,27,0,0,0,24,0,18,22,3,13,30,118.txt
21,9,29,29,28,30,10,12,30,16,1,1,20,28,4,30,1,15,15,12,23,22,19,1,7,11,19,16,19,23,8,18,7,4,30,12,22,12,22,14,4,19,20,14,17,16,1,30,10,20,5,5,12,20,13,16,28,13,18,22,121.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,17,7,4,28,3,0,15,2,28,19,26,9,22,24,9,10,0,0,0,9,0,8,15,26,6,28,123.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,3,3,3,0,6,20,20,19,25,7,4,28,3,7,0,12,19,10,20,24,3,15,30,29,0,0,0,13,0,5,5,6,24,9,124.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,8,4,7,3,0,0,2,19,19,20,7,0,6,7,5,0,0,0,25,0,0,0,0,0,0,126.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,7,4,28,3,0,0,2,19,19,20,7,0,6,7,5,0,0,0,8,0,0,0,0,0,0,128.txt
0,0,0,0,9,0,4,5,5,25,0,0,0,0,0,10,30,29,0,3,0,0,0,0,21,0,0,0,0,0,6,9,8,9,2,7,2,28,2,0,0,17,19,0,20,2,15,7,24,4,16,16,27,26,2,29,22,13,9,22,130.txt
16,3,16,20,9,2,21,2,17,19,30,30,0,0,0,20,12,22,25,19,25,28,25,28,20,6,3,23,16,17,6,20,20,19,3,8,2,7,3,25,25,10,19,9,20,24,3,15,30,29,0,0,0,9,0,5,5,2,24,8,132.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,12,4,0,0,0,0,21,6,6,28,2,9,1,9,1,21,0,2,19,19,20,21,15,19,23,4,0,0,0,12,0,7,7,10,18,11,135.txt
0,0,0,0,9,9,14,6,0,4,1,1,8,23,7,0,3,20,26,26,29,14,3,23,21,17,0,0,0,1,6,11,13,13,0,2,8,30,5,0,3,17,3,29,3,0,0,0,0,5,1,1,5,26,24,0,0,0,0,0,137.txt
0,0,0,0,9,0,4,5,5,7,17,8,11,4,14,10,7,19,6,12,6,5,5,2,1,4,11,19,7,8,29,25,26,17,22,17,29,21,26,29,3,12,3,19,3,16,1,29,20,15,1,28,6,30,16,29,3,13,9,22,141.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,14,2,2,0,6,9,8,9,22,3,4,3,3,5,0,2,19,19,20,16,10,10,21,9,0,0,0,12,0,13,11,11,26,24,144.txt
0,0,13,10,4,21,26,17,30,16,26,26,23,28,19,26,1,14,15,30,10,21,12,1,28,24,23,5,8,6,27,18,7,30,30,14,23,14,23,22,18,21,25,8,30,13,29,30,10,26,19,5,14,24,17,8,14,27,13,29,145.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,8,4,7,3,0,0,2,19,19,20,7,0,6,7,5,0,0,0,25,0,0,0,0,0,0,147.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,3,3,3,0,6,20,20,19,25,7,4,28,3,7,0,12,19,19,20,24,3,15,30,2,0,0,0,8,0,5,5,7,24,9,149.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,7,4,0,0,0,0,17,25,26,21,13,17,29,18,30,8,0,2,19,19,20,16,22,27,9,15,0,0,0,8,0,7,7,10,9,11,151.txt
0,0,13,10,4,5,7,17,24,9,22,21,10,4,18,25,17,16,30,30,30,21,21,22,20,4,5,18,19,8,6,9,8,9,0,8,2,7,3,0,15,18,30,19,23,7,0,6,7,5,19,5,10,20,17,0,0,0,0,0,154.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,7,4,28,3,0,0,2,19,19,20,7,0,6,7,5,0,0,0,25,0,0,0,0,0,0,156.txt
0,0,0,0,9,0,4,5,5,7,17,8,8,16,7,10,7,19,6,3,14,17,9,9,30,4,3,3,3,22,6,2,29,2,22,9,11,9,1,21,15,2,16,19,15,16,28,30,16,15,27,27,25,29,21,13,18,22,8,13,158.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,3,3,3,0,6,20,20,19,25,7,4,28,3,7,15,12,26,19,26,24,7,15,30,29,0,0,0,13,0,2,2,6,2,8,160.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,29,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,8,2,7,3,0,3,10,3,19,3,7,0,6,7,5,0,0,0,30,0,0,0,0,0,0,161.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,3,3,3,0,6,9,8,9,22,7,4,28,3,7,3,2,3,19,3,16,10,10,18,9,0,0,0,29,0,12,13,29,3,29,163.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,26,6,3,0,0,0,0,20,4,0,0,0,8,6,9,8,9,2,8,2,7,3,0,0,21,19,19,20,2,15,19,2,4,1,1,10,25,8,3,3,13,9,3,165.txt
0,0,0,0,9,0,4,5,5,7,17,8,6,0,4,10,7,19,6,29,0,0,0,0,7,1,8,5,8,0,17,6,6,21,2,9,12,9,1,8,0,2,19,18,20,21,15,19,23,4,0,0,0,25,0,10,8,20,9,12,167.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,7,4,0,0,0,0,17,6,6,21,2,9,1,9,10,8,0,2,19,19,20,21,15,19,23,4,0,0,0,25,0,7,7,10,18,11,169.txt
0,0,0,0,9,0,4,5,5,25,0,0,0,0,0,10,30,19,0,3,0,0,0,0,21,0,0,0,0,0,6,9,8,9,0,7,2,28,2,0,3,10,3,0,3,7,0,6,7,5,0,0,0,26,0,0,0,0,0,0,171.txt
0,0,0,0,9,0,4,5,5,7,17,8,5,7,2,10,7,26,6,3,14,17,9,24,30,4,16,2,2,29,29,16,16,17,22,28,29,15,13,27,3,15,3,19,3,13,29,30,21,26,26,10,18,30,2,12,18,29,18,29,173.txt
0,0,0,0,9,0,14,9,0,25,0,0,8,13,11,12,30,26,0,3,6,5,5,6,27,18,0,0,0,22,6,2,2,2,1,7,2,28,5,0,12,13,13,29,13,13,30,30,28,26,30,27,3,8,27,7,7,10,9,11,175.txt
0,0,0,0,9,0,4,5,5,7,17,8,6,2,20,10,7,26,6,12,6,5,5,2,30,24,11,18,7,22,21,30,9,28,22,1,14,1,23,22,3,21,3,24,3,13,22,22,16,26,0,0,0,13,0,23,22,13,16,22,177.txt
0,0,0,0,9,0,4,5,5,7,9,7,28,4,5,10,3,20,4,13,7,20,3,23,10,24,5,7,19,1,22,30,9,16,12,1,1,1,23,16,15,21,27,7,25,21,15,7,23,27,1,1,10,13,9,3,3,13,9,3,179.txt
0,0,0,0,9,9,14,9,0,4,9,7,8,4,7,0,3,20,26,3,29,1,3,23,21,0,0,0,0,8,6,2,2,2,12,8,2,7,4,0,3,21,3,27,3,2,15,7,24,4,5,20,4,26,4,29,28,13,12,22,182.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,2,7,4,28,3,0,0,2,19,19,20,2,15,20,2,4,0,0,0,25,0,23,3,13,9,3,184.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,7,4,28,3,0,0,2,19,19,20,7,0,6,7,5,0,0,0,25,0,0,0,0,0,0,188.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,3,3,3,0,6,9,8,9,25,7,4,28,3,7,3,2,3,19,3,7,3,6,7,5,0,0,0,8,0,5,5,7,24,9,189.txt
0,0,0,0,9,0,4,5,5,7,17,8,8,13,28,10,7,19,6,3,6,5,5,6,20,4,3,3,3,22,6,2,2,2,15,7,4,28,3,7,17,3,27,11,25,16,28,28,22,15,0,0,0,8,0,12,12,28,18,25,191.txt
29,17,1,10,22,29,7,17,24,11,22,25,23,4,19,26,6,6,5,10,23,4,21,22,19,21,27,17,24,6,27,22,22,30,11,28,17,24,14,27,30,22,20,21,18,13,9,9,12,26,19,5,11,23,19,15,19,17,21,15,194.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,7,6,9,8,9,2,7,4,28,3,0,0,2,19,19,20,5,15,19,5,4,22,19,4,25,4,17,21,30,6,15,197.txt
0,0,0,0,0,0,4,5,5,25,27,24,23,4,19,10,14,16,9,30,30,20,12,15,10,0,5,16,19,1,22,16,16,16,22,4,16,19,30,22,17,17,27,29,25,13,29,30,25,26,1,1,10,12,8,23,25,13,18,16,199.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,7,4,28,3,0,0,2,19,19,20,7,0,6,7,5,0,0,0,25,0,0,0,0,0,0,203.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,7,4,28,3,0,0,2,19,19,20,7,0,6,7,5,0,0,0,25,0,0,0,0,0,0,204.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,3,3,3,0,6,9,8,9,15,7,4,28,3,7,3,2,3,19,3,16,1,1,22,15,0,0,0,5,0,12,8,22,18,12,209.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,29,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,8,2,7,3,0,0,10,19,19,20,7,0,6,7,5,0,0,0,9,0,0,0,0,0,0,210.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,7,4,28,3,0,0,2,19,19,20,7,0,6,7,5,16,10,18,25,7,0,0,0,0,0,212.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,10,4,3,24,17,0,22,27,16,16,22,16,30,18,13,29,3,27,3,19,3,16,10,10,20,15,26,10,18,30,2,12,16,22,9,29,214.txt
29,0,11,4,1,14,7,17,1,13,26,13,19,4,19,3,17,24,13,8,10,21,12,16,19,21,8,13,11,12,26,22,22,30,19,17,17,21,14,29,19,30,20,14,17,9,30,1,13,10,6,6,9,22,11,6,6,16,4,10,217.txt
0,0,0,0,9,0,4,5,5,0,0,0,8,4,7,10,29,29,0,3,6,5,5,2,21,0,0,0,0,1,7,2,2,2,25,19,8,17,2,25,11,10,9,0,7,7,0,6,7,0,1,28,5,28,5,2,2,4,2,2,219.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,7,4,28,6,0,0,2,19,19,20,7,0,6,7,5,0,0,0,25,0,0,0,0,0,0,220.txt
16,3,20,2,13,2,2,19,2,2,17,8,25,2,11,17,7,19,6,17,2,15,2,2,0,28,3,3,3,2,30,2,2,2,25,0,0,0,0,2,17,10,16,12,15,3,3,3,3,2,30,3,3,13,3,5,5,4,24,2,222.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,8,4,7,3,0,0,2,19,19,20,7,0,6,7,5,0,0,0,13,0,0,0,0,0,0,225.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,7,4,28,3,0,0,2,19,19,20,7,0,6,7,5,0,0,0,25,0,0,0,0,0,0,227.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,7,4,28,3,0,0,2,19,19,20,7,0,6,7,5,0,0,0,13,0,0,0,0,0,0,229.txt
0,0,0,0,9,0,14,6,16,22,0,0,0,0,0,12,29,29,0,3,0,0,0,0,0,0,3,3,3,0,30,20,20,10,25,0,0,0,0,2,26,10,27,29,25,7,3,6,7,5,0,0,0,13,0,4,4,4,23,2,231.txt
0,0,13,29,3,9,26,1,25,9,1,1,6,21,4,11,3,20,4,29,10,23,17,23,7,23,8,5,8,1,17,5,5,21,2,1,1,1,23,8,0,2,19,7,20,21,15,19,23,26,1,1,10,17,13,10,11,20,6,24,236.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,3,3,3,0,6,21,21,19,25,7,4,28,3,7,3,3,3,19,3,24,3,15,30,28,0,0,0,30,0,5,5,7,24,9,241.txt
0,0,0,0,9,0,4,5,5,7,27,20,0,23,0,10,3,20,4,3,7,20,3,23,20,4,0,0,0,1,6,9,8,9,0,8,2,7,3,0,25,10,19,19,20,24,0,15,30,2,1,1,4,30,4,0,0,0,0,0,242.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,17,4,0,0,0,0,27,30,9,17,17,9,23,9,17,21,3,11,3,19,3,13,30,30,22,26,0,0,0,8,0,7,7,10,9,11,245.txt
11,3,17,2,13,2,2,19,2,21,30,2,0,0,0,2,12,23,25,19,24,27,24,27,9,28,13,2,2,16,2,19,19,10,20,6,10,8,12,26,17,21,16,12,15,13,29,29,1,26,26,10,18,30,2,12,18,29,18,13,247.txt
0,3,0,0,13,0,4,5,5,7,17,8,8,13,11,10,7,19,6,2,6,5,5,6,20,7,3,3,3,22,2,11,13,13,25,7,4,28,3,7,17,12,26,10,26,24,18,15,30,29,28,17,26,8,27,2,2,6,2,9,249.txt
16,3,16,27,9,2,21,23,17,2,30,30,0,0,0,19,22,22,24,19,25,28,25,28,21,7,3,10,10,17,6,21,21,19,25,2,4,2,4,7,6,3,4,9,4,24,3,15,30,29,0,0,0,8,0,5,5,6,24,9,250.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,20,20,19,0,7,4,28,3,0,0,2,19,19,20,7,0,6,7,5,0,0,0,9,0,0,0,0,0,0,252.txt
29,0,13,7,4,8,7,17,26,8,26,10,23,4,14,13,25,16,29,1,10,22,12,22,30,11,11,7,18,1,29,27,16,17,22,28,29,20,26,20,16,2,23,25,23,16,1,30,1,20,1,28,6,20,13,16,3,13,18,18,256.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,30,9,8,9,0,7,4,28,3,0,0,12,19,19,20,3,0,3,3,2,0,0,0,8,0,0,0,0,0,0,258.txt
